proEnglishName,proImgUrl,proName,proTypeId,productId
TCTD2 T-shirt - LINCOLN,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224305739459.jpg,育碧 汤姆克兰西全境封锁2 T恤 - LINCOLN,36,6104
TCTD2 T-shirt - UNITE,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224305787672.jpg,育碧 汤姆克兰西全境封锁2 T恤 - UNITE,36,6103
TCTD2 Mouth Mask,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224305296626.jpg,育碧 汤姆克兰西全境封锁2 口罩,36,6102
TCTD2 Mouse Pads Set,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224004939767.jpg,育碧 汤姆克兰西全境封锁2 鼠标垫套装,41,6101
TCTD2 USB Charging Cable 3 in 1,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224305116462.jpg,育碧 汤姆克兰西全境封锁2 多接口充电线,37,6100
TCTD2 Gaming Keycap,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190315111801466150.jpg,育碧 汤姆克兰西全境封锁2 计算机键帽,41,6099
TCTD2 Keychain,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224005332490.jpg,育碧 汤姆克兰西全境封锁2 金属钥匙扣,39,6098
TCTD2 Sport Armband,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224004993618.jpg,育碧 汤姆克兰西全境封锁2 特工臂包,40,6097
TCTD2 Portable Power,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224305270712.jpg,育碧 汤姆克兰西全境封锁2 暗区充电宝 移动电源,37,6096
TCTD2 Mobile Phone Case,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190314224004965958.jpg,育碧 汤姆克兰西全境封锁2 手机壳,37,6095
SFV CONTINUE T-shirt,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190305160200615663.jpg,街霸 街头霸王V 战败款 T恤,36,6075
SFV GUOKI T-shirt,http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20190305160200663381.jpg,街霸 街头霸王V 豪鬼款 T恤,36,6074